epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,496.959,1.52898,0.81569,1.09355,0.82462,0.76109,0.8377,0.48111,1.53877,0.82648,1.10914,0.0007724,0.0007724,0.0007724
64,504.673,1.52206,0.80224,1.07808,0.83462,0.75996,0.84415,0.48594,1.53966,0.82172,1.11199,0.0007526,0.0007526,0.0007526
65,512.397,1.52074,0.81709,1.07825,0.82914,0.75414,0.84224,0.48132,1.54011,0.83256,1.11823,0.0007328,0.0007328,0.0007328
66,520.13,1.5344,0.81677,1.08616,0.82575,0.77075,0.84438,0.48556,1.54081,0.8118,1.11366,0.000713,0.000713,0.000713
67,527.874,1.52393,0.80178,1.07899,0.8253,0.76719,0.8498,0.48482,1.53412,0.81615,1.10492,0.0006932,0.0006932,0.0006932
68,535.604,1.52801,0.8033,1.07986,0.81718,0.77925,0.84715,0.48661,1.52193,0.82982,1.09929,0.0006734,0.0006734,0.0006734
69,543.354,1.54042,0.81066,1.07571,0.829,0.76235,0.84344,0.48187,1.54838,0.81342,1.11524,0.0006536,0.0006536,0.0006536
70,551.071,1.52937,0.81043,1.07801,0.82786,0.75626,0.8382,0.47932,1.55693,0.84115,1.11733,0.0006338,0.0006338,0.0006338
71,558.767,1.51819,0.79528,1.07538,0.82444,0.77335,0.84722,0.48553,1.5422,0.82301,1.10881,0.000614,0.000614,0.000614
72,566.465,1.5322,0.79634,1.08422,0.83301,0.76526,0.84505,0.48104,1.55791,0.81559,1.11615,0.0005942,0.0005942,0.0005942
73,574.212,1.53596,0.80103,1.07072,0.83408,0.75919,0.84254,0.48191,1.55132,0.81786,1.11474,0.0005744,0.0005744,0.0005744
74,581.911,1.51018,0.79365,1.07772,0.83551,0.76437,0.8428,0.48281,1.55149,0.82025,1.11167,0.0005546,0.0005546,0.0005546
75,589.601,1.49945,0.79566,1.07851,0.82677,0.76964,0.84687,0.49002,1.52516,0.82707,1.10149,0.0005348,0.0005348,0.0005348
76,597.359,1.5249,0.79772,1.07873,0.83637,0.77942,0.85514,0.48446,1.56031,0.82753,1.1077,0.000515,0.000515,0.000515
77,605.062,1.49804,0.78907,1.07436,0.83219,0.78212,0.8549,0.49061,1.53673,0.81587,1.10024,0.0004952,0.0004952,0.0004952
78,612.826,1.46938,0.76623,1.05478,0.8282,0.77661,0.85161,0.48853,1.54025,0.81449,1.10252,0.0004754,0.0004754,0.0004754
79,620.638,1.53279,0.78879,1.06543,0.8374,0.77182,0.85172,0.49292,1.53143,0.80547,1.1035,0.0004556,0.0004556,0.0004556
80,628.356,1.49953,0.77849,1.07829,0.8413,0.76754,0.85369,0.49428,1.52367,0.793,1.10414,0.0004358,0.0004358,0.0004358
81,636.131,1.50186,0.77836,1.06438,0.83763,0.77312,0.85052,0.48983,1.52567,0.7966,1.10403,0.000416,0.000416,0.000416
82,643.866,1.51139,0.78384,1.0779,0.84102,0.76596,0.85333,0.49065,1.53281,0.80667,1.10691,0.0003962,0.0003962,0.0003962
83,651.636,1.49977,0.77766,1.06815,0.83176,0.78202,0.85241,0.49246,1.53007,0.79496,1.10662,0.0003764,0.0003764,0.0003764
84,659.429,1.50346,0.76452,1.06064,0.83599,0.78668,0.85896,0.49963,1.50854,0.79045,1.09894,0.0003566,0.0003566,0.0003566
85,667.236,1.49492,0.77763,1.06763,0.84044,0.77689,0.85724,0.4949,1.53084,0.80156,1.10201,0.0003368,0.0003368,0.0003368
86,674.939,1.50115,0.78148,1.08175,0.8471,0.76827,0.85306,0.49738,1.51624,0.80327,1.09749,0.000317,0.000317,0.000317
87,682.675,1.47342,0.78273,1.06988,0.84755,0.7715,0.85914,0.49654,1.52564,0.80205,1.0973,0.0002972,0.0002972,0.0002972
88,690.347,1.49865,0.77216,1.06616,0.84359,0.7685,0.85515,0.49665,1.51744,0.79353,1.0982,0.0002774,0.0002774,0.0002774
89,698.085,1.48342,0.76688,1.0575,0.84292,0.76827,0.85379,0.49503,1.51569,0.80545,1.09646,0.0002576,0.0002576,0.0002576
90,705.808,1.48339,0.7618,1.06732,0.83906,0.7772,0.85209,0.49529,1.51864,0.78695,1.1027,0.0002378,0.0002378,0.0002378
91,714.265,1.47736,0.77297,1.08554,0.83517,0.78212,0.85252,0.49272,1.52994,0.79671,1.10721,0.000218,0.000218,0.000218
92,722.053,1.47551,0.77593,1.08503,0.832,0.78794,0.85479,0.49017,1.54259,0.79224,1.11062,0.0001982,0.0001982,0.0001982
93,729.77,1.47921,0.77303,1.0897,0.84083,0.77889,0.854,0.49559,1.52136,0.77672,1.10777,0.0001784,0.0001784,0.0001784
94,737.483,1.48278,0.7726,1.07976,0.83854,0.78555,0.85684,0.4918,1.54305,0.7929,1.10732,0.0001586,0.0001586,0.0001586
95,745.207,1.47581,0.77188,1.07201,0.83866,0.78181,0.85543,0.49672,1.51849,0.79455,1.10043,0.0001388,0.0001388,0.0001388
96,752.931,1.46731,0.77157,1.08352,0.83611,0.78227,0.85608,0.49318,1.53185,0.78614,1.10759,0.000119,0.000119,0.000119
97,760.651,1.47641,0.77582,1.07909,0.8401,0.77929,0.85609,0.49703,1.52229,0.78501,1.10109,9.92e-05,9.92e-05,9.92e-05
98,768.391,1.45712,0.76582,1.08112,0.84553,0.7775,0.85681,0.49517,1.53478,0.7832,1.10772,7.94e-05,7.94e-05,7.94e-05
99,776.082,1.45827,0.7561,1.07668,0.8502,0.77643,0.85813,0.49617,1.53151,0.78207,1.1059,5.96e-05,5.96e-05,5.96e-05
100,783.751,1.44899,0.75582,1.07514,0.84524,0.78104,0.85678,0.49565,1.53352,0.7829,1.10763,3.98e-05,3.98e-05,3.98e-05
