                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.8594,                 1.0512,                  1.301,                 1.9381,                 1.4089,                 1.2368,                0.68788,                0.64302,                0.70095,                0.35873,                 1.7319,                0.99784,                 1.2909,                 1.7415,                 1.3325,                 1.2445,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.8546,                 1.0538,                 1.3175,                 1.9111,                 1.4063,                 1.2522,                0.68581,                0.63056,                0.68968,                0.35473,                 1.7788,                0.99864,                 1.3108,                 1.7829,                 1.3092,                 1.2647,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.8648,                 1.0543,                 1.3111,                  1.944,                 1.4005,                 1.2483,                0.69323,                0.61671,                0.69288,                0.34515,                 1.8121,                 1.0209,                 1.3142,                 1.7946,                 1.3377,                 1.2614,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.8293,                 1.0552,                 1.2972,                 1.9072,                 1.3985,                 1.2362,                0.68996,                0.63271,                0.69406,                0.36091,                 1.7474,                0.98774,                 1.2971,                 1.7453,                 1.3106,                 1.2496,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.8748,                 1.0594,                 1.3072,                 1.9598,                 1.4108,                 1.2379,                0.70733,                0.62856,                0.70107,                0.36129,                 1.7468,                0.98979,                 1.2981,                 1.7362,                 1.3298,                 1.2481,               0.001307,               0.001307,               0.001307
                     38,                 1.8288,                 1.0467,                 1.2979,                 1.9088,                 1.3889,                  1.236,                0.68158,                0.63237,                0.68875,                0.35444,                  1.735,                 1.0066,                 1.2841,                 1.7261,                 1.3426,                 1.2415,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.8136,                 1.4448,                 1.2752,                 1.9078,                 1.4168,                 1.2152,                0.69964,                0.63425,                0.69915,                0.36072,                 1.7197,                0.99405,                 1.2952,                 1.7538,                 1.2954,                   1.26,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.8195,                 1.0317,                  1.295,                 1.9058,                 1.3567,                 1.2324,                0.69781,                0.64564,                0.70515,                 0.3643,                  1.734,                0.96817,                 1.2943,                  1.753,                  1.268,                 1.2494,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.8169,                 1.0342,                 1.2939,                 1.8921,                 1.3658,                 1.2315,                0.71247,                0.64441,                0.71632,                0.37464,                 1.7149,                0.95856,                 1.2761,                  1.718,                 1.2814,                 1.2326,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.8113,                 1.0114,                 1.2723,                   1.89,                 1.3514,                 1.2122,                0.70224,                0.64086,                0.70365,                0.36278,                 1.7282,                0.96881,                 1.2889,                 1.7416,                 1.2802,                 1.2501,               0.001208,               0.001208,               0.001208
                     43,                 1.7968,                0.99745,                 1.2822,                 1.8813,                 1.3297,                 1.2199,                0.69793,                0.63364,                0.69773,                0.36166,                 1.7653,                0.96571,                 1.2976,                 1.7587,                 1.3039,                 1.2527,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.7827,                0.98544,                 1.2675,                 1.8709,                   1.32,                 1.2114,                0.70657,                0.65102,                0.72204,                0.37466,                 1.6921,                0.94382,                 1.2713,                 1.7129,                 1.2555,                 1.2311,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.7868,                 1.0034,                 1.2742,                 1.8705,                 1.3282,                 1.2162,                0.71617,                0.65641,                0.72215,                0.38228,                 1.7023,                0.94695,                 1.2748,                 1.7041,                 1.2384,                 1.2346,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.7968,                 1.0184,                 1.2881,                 1.8706,                  1.357,                 1.2333,                0.71817,                0.64108,                 0.7177,                0.37202,                 1.7231,                0.95898,                 1.2782,                 1.7288,                 1.2851,                 1.2382,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.804,                 1.0133,                 1.2808,                 1.8843,                 1.3408,                 1.2224,                0.71669,                 0.6441,                0.71427,                0.36921,                 1.7573,                0.98095,                 1.3043,                 1.7582,                 1.2578,                 1.2562,               0.001109,               0.001109,               0.001109
                     48,                 1.7884,                 1.0075,                 1.2791,                 1.8663,                 1.3285,                 1.2223,                0.73441,                0.63736,                0.71933,                0.36349,                   1.76,                0.96311,                 1.2989,                 1.7722,                 1.2704,                 1.2563,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.8248,                 1.0182,                 1.2895,                 1.8906,                 1.3464,                 1.2234,                0.70692,                0.66026,                0.72031,                0.37211,                 1.7381,                 0.9906,                 1.2867,                  1.736,                 1.3174,                 1.2418,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.8001,                 1.0027,                 1.2721,                 1.8921,                 1.3259,                 1.2147,                0.71483,                0.64625,                0.72669,                0.37781,                 1.7008,                0.96101,                  1.264,                 1.7064,                  1.271,                  1.224,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.7884,                 1.0139,                 1.2819,                 1.8643,                 1.3396,                 1.2193,                0.72618,                0.66318,                0.73175,                0.38553,                 1.6908,                0.93849,                 1.2623,                 1.6924,                 1.2446,                 1.2268,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.7782,                0.97278,                   1.26,                 1.8587,                 1.2818,                 1.2012,                0.72758,                0.66072,                0.73447,                0.38805,                 1.6811,                0.94918,                 1.2643,                 1.6918,                 1.2315,                 1.2244,                0.00101,                0.00101,                0.00101
                     53,                 1.7826,                  0.987,                 1.2606,                 1.8656,                 1.2864,                 1.2042,                0.72559,                 0.6713,                0.73935,                0.38688,                 1.6895,                0.94696,                  1.262,                 1.7058,                 1.2101,                 1.2278,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.7761,                 1.0049,                 1.2743,                  1.856,                 1.2979,                 1.2182,                0.72858,                0.64102,                0.72672,                0.38267,                 1.7001,                0.93595,                 1.2685,                 1.7285,                 1.2205,                 1.2323,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.7512,                0.97236,                  1.263,                 1.8379,                 1.2778,                 1.2101,                0.73313,                0.65441,                 0.7342,                0.39243,                 1.7016,                0.92501,                 1.2645,                 1.7043,                 1.2094,                  1.227,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.7844,                0.97982,                 1.2739,                 1.8604,                 1.2942,                 1.2133,                 0.7341,                0.65826,                0.73547,                0.37784,                 1.7273,                0.93885,                 1.2865,                 1.7461,                 1.2039,                 1.2506,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.7535,                 0.9875,                 1.2857,                   1.83,                 1.2989,                 1.2285,                0.72852,                0.66795,                0.74227,                0.39286,                 1.6618,                0.94003,                  1.255,                 1.6888,                 1.2148,                 1.2207,               0.000911,               0.000911,               0.000911
                     58,                 1.7718,                0.98625,                 1.2709,                  1.863,                 1.2952,                  1.213,                0.73368,                0.66256,                0.74109,                0.39861,                 1.6441,                 0.9083,                 1.2479,                 1.6692,                 1.1901,                 1.2132,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.7303,                0.95273,                  1.251,                 1.8224,                 1.2544,                 1.1921,                0.73688,                0.67333,                 0.7478,                  0.397,                 1.6626,                0.92294,                 1.2491,                 1.6716,                 1.2155,                 1.2111,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.7437,                 0.9617,                 1.2699,                 1.8251,                 1.2742,                 1.2169,                  0.738,                 0.6641,                0.73474,                0.38834,                 1.6856,                0.91895,                 1.2719,                 1.7165,                 1.1796,                 1.2373,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.7579,                0.95952,                 1.2498,                 1.8559,                 1.2515,                 1.1952,                0.74742,                0.66614,                0.74731,                0.39988,                 1.6792,                0.92594,                 1.2566,                 1.6927,                 1.1805,                 1.2173,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.7527,                  0.968,                 1.2673,                 1.8441,                 1.2629,                 1.2166,                0.72241,                0.66933,                0.74261,                0.39389,                 1.6712,                0.93298,                 1.2479,                 1.6738,                 1.2305,                 1.2111,               0.000812,               0.000812,               0.000812
                     63,                 1.7399,                0.96643,                 1.2755,                 1.8158,                 1.2839,                 1.2223,                0.74939,                0.65949,                0.74176,                0.39791,                 1.6562,                 0.9183,                 1.2574,                 1.6836,                 1.1861,                 1.2178,              0.0007922,              0.0007922,              0.0007922
