epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,409.072,1.52745,0.80982,1.07177,0.81806,0.76723,0.84084,0.48309,1.54044,0.82619,1.0967,0.000614,0.000614,0.000614
72,414.7,1.53038,0.81255,1.07942,0.82275,0.76535,0.84484,0.4829,1.54167,0.82487,1.09794,0.0005942,0.0005942,0.0005942
73,420.332,1.53571,0.8155,1.06766,0.82637,0.75919,0.84377,0.48203,1.54645,0.8274,1.09722,0.0005744,0.0005744,0.0005744
74,425.972,1.52025,0.80867,1.07682,0.82225,0.75448,0.84016,0.48375,1.54671,0.82273,1.10137,0.0005546,0.0005546,0.0005546
75,431.584,1.50637,0.81441,1.07489,0.8103,0.76273,0.84101,0.48632,1.52767,0.82731,1.09764,0.0005348,0.0005348,0.0005348
76,437.266,1.52821,0.81168,1.0759,0.82135,0.77109,0.84974,0.48913,1.5252,0.82587,1.08963,0.000515,0.000515,0.000515
77,442.903,1.51379,0.80981,1.0782,0.82032,0.77058,0.84689,0.48155,1.54549,0.82827,1.0971,0.0004952,0.0004952,0.0004952
78,448.536,1.48746,0.78325,1.05924,0.82309,0.76658,0.84896,0.48993,1.52511,0.81144,1.09507,0.0004754,0.0004754,0.0004754
79,454.257,1.54647,0.81179,1.06753,0.81798,0.76443,0.84242,0.48582,1.52469,0.82259,1.09297,0.0004556,0.0004556,0.0004556
80,459.881,1.51269,0.8031,1.07784,0.82472,0.76164,0.84227,0.4851,1.53664,0.81689,1.09966,0.0004358,0.0004358,0.0004358
81,465.524,1.50995,0.79477,1.06381,0.8177,0.76058,0.83834,0.48215,1.53304,0.82811,1.09689,0.000416,0.000416,0.000416
82,471.147,1.51586,0.80324,1.07651,0.82023,0.77258,0.84621,0.48841,1.52297,0.8161,1.09314,0.0003962,0.0003962,0.0003962
83,476.754,1.50324,0.7943,1.06424,0.81843,0.77192,0.84496,0.48881,1.5262,0.8122,1.09064,0.0003764,0.0003764,0.0003764
84,482.374,1.5063,0.7834,1.05556,0.82307,0.77233,0.85165,0.49203,1.51878,0.81279,1.08698,0.0003566,0.0003566,0.0003566
85,488.046,1.50352,0.79417,1.06434,0.82675,0.77273,0.85219,0.49216,1.52153,0.81451,1.08607,0.0003368,0.0003368,0.0003368
86,493.666,1.50734,0.7995,1.07885,0.8327,0.76058,0.84585,0.49305,1.51646,0.81452,1.08793,0.000317,0.000317,0.000317
87,499.272,1.48225,0.80062,1.06968,0.82273,0.76412,0.84518,0.4895,1.52294,0.818,1.08812,0.0002972,0.0002972,0.0002972
88,504.816,1.50076,0.79191,1.06345,0.82385,0.76858,0.84827,0.49106,1.51505,0.80847,1.08687,0.0002774,0.0002774,0.0002774
89,510.403,1.49535,0.77949,1.05789,0.81301,0.77658,0.84635,0.4905,1.5162,0.81115,1.0909,0.0002576,0.0002576,0.0002576
90,515.982,1.49098,0.78182,1.0637,0.82479,0.77304,0.84672,0.48917,1.52703,0.8085,1.09423,0.0002378,0.0002378,0.0002378
91,522.306,1.4854,0.79915,1.08333,0.82802,0.77366,0.8467,0.48927,1.51694,0.81243,1.09349,0.000218,0.000218,0.000218
92,527.966,1.4953,0.80895,1.08269,0.82255,0.75818,0.83743,0.47846,1.54355,0.83036,1.10099,0.0001982,0.0001982,0.0001982
93,533.459,1.49144,0.80468,1.08443,0.82546,0.77058,0.84865,0.48895,1.52256,0.80544,1.09162,0.0001784,0.0001784,0.0001784
94,538.969,1.49229,0.79896,1.07976,0.82728,0.77089,0.8507,0.48491,1.53425,0.83004,1.09247,0.0001586,0.0001586,0.0001586
95,544.458,1.48595,0.79278,1.07257,0.82547,0.76197,0.84429,0.48607,1.5245,0.83005,1.09204,0.0001388,0.0001388,0.0001388
96,549.923,1.48069,0.80298,1.0809,0.82675,0.76827,0.84769,0.48774,1.53093,0.81968,1.09514,0.000119,0.000119,0.000119
97,555.396,1.4868,0.80153,1.07693,0.82448,0.76889,0.84895,0.4896,1.52208,0.82014,1.0899,9.92e-05,9.92e-05,9.92e-05
98,560.924,1.4722,0.79046,1.07865,0.82511,0.77043,0.84758,0.48978,1.52342,0.80772,1.09263,7.94e-05,7.94e-05,7.94e-05
99,566.457,1.4693,0.78102,1.0744,0.83039,0.77141,0.84941,0.49102,1.52313,0.80961,1.09039,5.96e-05,5.96e-05,5.96e-05
100,571.933,1.45855,0.78483,1.07039,0.82398,0.77434,0.8502,0.49002,1.52616,0.81278,1.09048,3.98e-05,3.98e-05,3.98e-05
